fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
BILLY RAY GOFF,9-4-0,7.0,,4.0,46%,193.0,416.0,17%,,18.0,7.51,5.02,1.75,0.0,59%,67%,1.17,06:26,177.0,92%,13.0,7%,3.0,2%,98.0,51%,57.0,20%,78.0,30%,7.0,78%,2.0,22%,0.0,0%,https://www.ufc.com/athlete/billy-goff,Welterweight,42.45283018867924,79.04761904761905,94.33962264150944,15.425531914893616,51.041666666666664,67.9245283018868,23.58490566037736,88.67924528301887
BLOOD DIAMOND,3-3-0,1.0,1.0,,55%,108.0,195.0,0%,,4.0,3.12,2.17,0.0,0.0,49%,74%,0.0,11:33,53.0,49%,55.0,51%,0.0,0%,47.0,44%,46.0,43%,33.0,14%,1.0,33%,1.0,33%,1.0,33%,https://www.ufc.com/athlete/blud-daymond,Welterweight,80.18867924528303,30.0,23.58490566037736,7.446808510638298,67.70833333333334,12.264150943396226,23.58490566037736,15.566037735849056
CHIDI NJOKUANI,25-11-0,15.0,1.0,10.0,62%,452.0,725.0,0%,,5.0,4.72,2.64,0.0,0.16,57%,73%,0.63,08:43,237.0,52%,147.0,33%,68.0,15%,184.0,40%,184.0,41%,87.0,19%,15.0,60%,9.0,36%,1.0,4%,https://www.ufc.com/athlete/bruno-korea-0,Welterweight,92.9245283018868,70.47619047619048,66.0377358490566,7.446808510638298,65.10416666666666,12.264150943396226,54.71698113207547,70.75471698113208
CARLOS LEAL,22-7-0,10.0,2.0,10.0,51%,191.0,375.0,25%,1.0,4.0,9.57,7.61,0.75,0.0,53%,90%,0.0,06:39,153.0,80%,38.0,20%,0.0,0%,126.0,66%,44.0,23%,48.0,11%,10.0,48%,9.0,43%,2.0,10%,https://www.ufc.com/athlete/carlos-leal,Welterweight,66.0377358490566,51.90476190476191,98.11320754716981,27.659574468085108,85.41666666666666,38.67924528301887,23.58490566037736,15.566037735849056
CARLOS PRATES,22-7-0,17.0,3.0,10.0,54%,244.0,449.0,100%,,1.0,3.82,4.8,0.23,0.0,48%,84%,2.11,09:08,229.0,94%,1.0,0%,14.0,6%,134.0,55%,56.0,23%,77.0,22%,17.0,77%,2.0,9%,3.0,14%,https://www.ufc.com/athlete/carlos-prates,Welterweight,76.88679245283019,26.666666666666668,41.509433962264154,96.80851063829788,77.08333333333334,25.0,23.58490566037736,94.33962264150944
CARLSTON HARRIS,19-7-0,5.0,6.0,6.0,44%,194.0,441.0,23%,,22.0,3.79,3.46,1.46,0.59,54%,56%,0.59,07:19,154.0,79%,13.0,7%,27.0,14%,125.0,64%,46.0,24%,26.0,12%,5.0,26%,8.0,42%,6.0,32%,https://www.ufc.com/athlete/carlston-harris,Welterweight,33.490566037735846,54.761904761904766,39.62264150943396,22.340425531914892,33.33333333333333,61.32075471698113,74.52830188679245,66.0377358490566
CHARLES RADTKE,10-5-0,5.0,2.0,5.0,,,,,,,,,,,,,,00:00,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,50.0,0%,5.0,50%,3.0,30%,2.0,20%,https://www.ufc.com/athlete/charles-radtke,Welterweight,,,,,,,,
CHRIS CURTIS,32-12-0,17.0,1.0,7.0,51%,920.0,1809.0,0%,,1.0,5.98,6.19,0.0,0.0,55%,83%,0.39,12:50,847.0,92%,56.0,6%,17.0,2%,645.0,70%,228.0,25%,53.0,5%,17.0,53%,14.0,44%,1.0,3%,https://www.ufc.com/athlete/chris-curtis,Welterweight,66.0377358490566,59.523809523809526,86.79245283018868,7.446808510638298,76.04166666666666,12.264150943396226,23.58490566037736,53.77358490566038
CHRIS HOFMANN,0-1-0,,,,45%,63.0,139.0,43%,,7.0,4.78,4.63,3.42,0.0,36%,,1.14,13:10,39.0,62%,16.0,25%,8.0,13%,51.0,51%,33.0,33%,16.0,16%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/chris-hofmann,Welterweight,39.62264150943396,5.238095238095238,69.33962264150944,68.08510638297872,,92.45283018867924,23.58490566037736,87.73584905660378
CHRISTOPHER ALVIDREZ,1-0-0,,,,62%,33.0,53.0,0%,,1.0,6.97,2.11,0.0,0.0,50%,100%,6.34,04:44,17.0,52%,1.0,3%,15.0,45%,76.0,76%,21.0,3%,21.0,21%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/christopher-alvidrez,Welterweight,92.9245283018868,35.23809523809524,92.45283018867924,7.446808510638298,94.79166666666666,12.264150943396226,23.58490566037736,99.05660377358491
COLBY COVINGTON,17-5-0,4.0,4.0,3.0,38%,1099.0,2856.0,43%,48.0,164.0,3.81,3.09,3.64,0.16,55%,69%,0.05,16:57,876.0,80%,107.0,10%,116.0,11%,763.0,69%,174.0,16%,162.0,15%,4.0,24%,9.0,53%,4.0,24%,https://www.ufc.com/athlete/colby-covington,Welterweight,9.433962264150944,59.523809523809526,40.56603773584906,68.08510638297872,56.770833333333336,94.33962264150944,54.71698113207547,31.132075471698112
COURT MCGEE,23-14-0,5.0,7.0,,37%,1364.0,3700.0,25%,23.0,145.0,4.5,3.65,1.78,0.45,61%,71%,0.15,12:38,1158.0,85%,83.0,6%,123.0,9%,708.0,52%,345.0,23%,345.0,25%,5.0,22%,11.0,48%,7.0,30%,https://www.ufc.com/athlete/court-mcgee,Welterweight,7.0754716981132075,87.61904761904762,59.43396226415094,27.659574468085108,60.9375,68.86792452830188,66.0377358490566,37.735849056603776
DALLAS MARRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/dallas-marron,Welterweight,,,,,,,,
DANIEL FRUNZA,9-3-0,8.0,,3.0,40%,85.0,212.0,,,,6.3,6.67,0.0,0.0,57%,60%,0.0,06:45,66.0,78%,8.0,9%,11.0,13%,74.0,74%,15.0,11%,89.0,15%,8.0,89%,1.0,11%,0.0,0%,https://www.ufc.com/athlete/daniel-frunza,Welterweight,14.150943396226415,70.47619047619048,88.67924528301887,,38.54166666666667,12.264150943396226,23.58490566037736,15.566037735849056
