fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
KETLEN SOUZA,15-6-0,8.0,2.0,5.0,58%,227.0,392.0,14%,,7.0,4.56,4.4,0.3,0.3,53%,50%,0.3,09:57,196,86%,28,12%,3,1%,120,53%,63,28%,53,19%,8,53%,5,33%,2,13%,https://www.ufc.com/athlete/ketlen-souza,Women's Strawweight,92.10526315789474,42.98245614035088,71.05263157894737,15.0,20.833333333333336,22.807017543859647,63.1578947368421,82.45614035087719
KATHRYN PAPROCKI,0-1-0,,,,23%,15.0,65.0,0%,,1.0,1.0,4.27,0.0,0.0,43%,,0.0,15:00,11,73%,4,27%,0,0%,40,27%,40,40%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/ketrin-paprokki,Women's Strawweight,5.263157894736842,9.649122807017543,11.403508771929824,6.0,,11.403508771929824,22.807017543859647,30.701754385964914
JULIA POLASTRI,13-5-0,4.0,3.0,,55%,388.0,702.0,80%,3.0,5.0,5.62,5.37,0.87,0.43,56%,58%,0.0,13:49,299,77%,46,12%,43,11%,239,62%,99,26%,50,13%,4,31%,6,46%,3,23%,https://www.ufc.com/athlete/kori-makkenna-7,Women's Strawweight,84.21052631578947,57.01754385964912,89.47368421052632,94.0,33.33333333333333,42.10526315789473,68.42105263157895,30.701754385964914
LOMA LOOKBOONMEE,10-4-0,1.0,1.0,,56%,516.0,924.0,50%,1.0,34.0,3.67,2.52,1.81,0.11,53%,69%,0.0,14:04,294,57%,186,36%,36,7%,232,37%,232,45%,94,18%,1,10%,8,80%,1,10%,https://www.ufc.com/athlete/loma-lookboonmee,Women's Strawweight,87.71929824561403,42.98245614035088,54.385964912280706,59.0,53.125,61.40350877192983,47.368421052631575,30.701754385964914
LOOPY GODINEZ,14-5-0,1.0,2.0,2.0,49%,869.0,1770.0,41%,15.0,92.0,4.51,4.03,2.96,0.86,62%,82%,0.08,13:47,740,85%,85,10%,44,5%,676,78%,142,16%,51,6%,1,7%,11,79%,2,14%,https://www.ufc.com/athlete/loopy-godinez,Women's Strawweight,68.42105263157895,87.71929824561403,66.66666666666666,51.0,80.20833333333334,89.47368421052632,87.71929824561403,63.1578947368421
LUANA PINHEIRO,11-5-0,2.0,5.0,7.0,40%,297.0,750.0,38%,7.0,37.0,3.29,4.06,2.33,0.17,60%,71%,0.33,11:16,256,86%,29,10%,12,4%,178,60%,69,23%,50,17%,2,18%,4,36%,5,45%,https://www.ufc.com/athlete/luana-pinheiro,Women's Strawweight,34.21052631578947,77.19298245614034,43.859649122807014,47.0,56.25,80.7017543859649,54.385964912280706,85.08771929824562
MACKENZIE DERN,15-5-0,,8.0,6.0,40%,668.0,1658.0,18%,1.0,68.0,3.31,3.9,0.89,1.19,52%,25%,0.15,13:27,484,72%,71,11%,113,17%,509,76%,89,13%,70,10%,0,0%,7,47%,8,53%,https://www.ufc.com/athlete/mackenzie-dern,Women's Strawweight,34.21052631578947,37.719298245614034,45.614035087719294,21.0,5.208333333333334,43.859649122807014,92.98245614035088,73.68421052631578
MAIARA AMAJANAS DOS SANTOS,0-0-0,,,,35%,19.0,54.0,,,,5.53,24.47,0.0,0.0,34%,100%,0.0,03:26,19,100%,0,0%,0,0%,58,58%,37,5%,37,37%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/maiara-amajanas-dos-santos,Women's Strawweight,15.789473684210526,4.385964912280701,84.21052631578947,,93.75,11.403508771929824,22.807017543859647,30.701754385964914
MARIA SILVA,1-1-0,,,,58%,90.0,156.0,100%,,4.0,3.0,1.13,2.0,0.5,63%,56%,0.0,15:00,48,53%,15,17%,27,30%,43,43%,31,26%,31,31%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/mariya-agapova-3,Women's Strawweight,92.10526315789474,92.98245614035088,36.84210526315789,99.0,29.166666666666668,67.54385964912281,70.17543859649122,30.701754385964914
MARNIC MANN,6-3-0,3.0,1.0,2.0,41%,58.0,140.0,33%,,15.0,1.47,5.08,1.9,0.38,31%,25%,0.0,13:11,52,90%,5,9%,1,2%,34,34%,52,14%,52,52%,3,50%,2,33%,1,17%,https://www.ufc.com/athlete/marnic-mann,Women's Strawweight,41.228070175438596,1.7543859649122806,15.789473684210526,36.0,5.208333333333334,63.1578947368421,66.66666666666666,30.701754385964914
