fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
JONATHAN CORREA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/jonathan-correa,Heavyweight
JORDAN JACKSON,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/jordan-jackson,Heavyweight
JOSH APPELT,15-7-0,null,null,null,40%,6,15,0%,null,1,1.35,11.50,0.00,0.00,33%,33%,0.00,04:26,4,67%,2,33%,0,0%,50,50%,33,33%,17,17%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/josh-appelt,Heavyweight
JOSH HOKIT,1-0-0,null,null,null,77%,27,35,46%,null,13,4.43,1.15,14.75,0.00,56%,null,0.00,06:06,2,7%,0,0%,25,93%,100,100%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/josh-hokit,Heavyweight
JOSH PARISIAN,15-8-0,11,2,8,48%,347,716,33%,1,15,4.55,4.88,0.98,0.20,41%,46%,0.39,08:28,240,69%,74,21%,33,10%,204,59%,105,30%,73,11%,11,73%,2,13%,2,13%,https://www.ufc.com/athlete/josh-parisian,Heavyweight
KEIFER ROBERTS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/keifer-roberts,Heavyweight
KENNEDY NZECHUKWU,14-6-0,10,null,4,47%,721,1542,45%,null,11,5.33,4.89,0.55,0.22,52%,81%,0.44,08:27,576,80%,79,11%,66,9%,602,83%,112,16%,71,1%,10,71%,3,21%,1,7%,https://www.ufc.com/athlete/kennedy-nzechukwu,Heavyweight
LORENZO HOOD,0-1-0,null,null,null,62%,13,21,null,null,null,2.64,4.66,0.00,0.00,12%,100%,0.00,04:56,9,69%,4,31%,0,0%,62,62%,23,23%,15,15%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/kerol-rosa-0,Heavyweight
KEVIN SZAFLARSKI,0-1-0,null,null,null,28%,17,60,0%,null,7,1.13,8.07,0.00,0.00,30%,null,0.00,15:00,17,100%,0,0%,0,0%,94,94%,6,6%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/kevin-szaflarski,Heavyweight
KYLE NOBLITT,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/kyle-noblitt,Heavyweight
LOGAN GREENHALGH,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/logan-greenhalgh,Heavyweight
LOUIE SUTHERLAND,10-3-0,8,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,80,0%,8,80%,2,20%,0,0%,https://www.ufc.com/athlete/louie-sutherland,Heavyweight
LUKASZ BRZESKI,9-7-1,6,1,3,50%,357,712,33%,null,6,4.90,3.65,0.41,0.41,55%,35%,0.00,09:07,305,85%,33,9%,19,5%,190,53%,89,25%,78,22%,6,67%,2,22%,1,11%,https://www.ufc.com/athlete/lukash-brzheski,Heavyweight
MARCIN TYBURA,27-10-0,10,7,11,49%,895,1844,34%,11,68,3.59,3.33,1.38,0.12,55%,75%,0.06,10:51,612,68%,81,9%,202,23%,589,66%,188,21%,118,13%,10,37%,10,37%,7,26%,https://www.ufc.com/athlete/marcin-tybura,Heavyweight
MARCOS CONRADO JUNIOR,0-0-0,null,null,null,34%,13,38,14%,null,7,1.60,9.69,1.84,0.00,36%,null,0.00,08:09,13,100%,0,0%,0,0%,77,77%,15,15%,8,8%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/marcos-conrado-junior,Heavyweight
MARCUS BUCHECHA,5-2-0,1,4,5,40%,24,60,9%,1,11,1.60,2.73,1.00,0.00,52%,null,0.00,15:00,16,67%,6,25%,2,8%,58,58%,42,42%,20,0%,1,20%,0,0%,4,80%,https://www.ufc.com/athlete/marcus-buchecha,Heavyweight
MARIO PINTO,10-0-0,6,1,5,71%,27,38,0%,null,1,3.67,5.29,0.00,0.00,52%,100%,4.07,03:41,23,85%,1,4%,3,11%,67,67%,26,7%,60,26%,6,60%,3,30%,1,10%,https://www.ufc.com/athlete/mario-pinto,Heavyweight
