fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
JOSE AUGUSTO,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/jose-augusto,Light Heavyweight
JULIUS ANGLICKAS,0-0-0,null,null,null,78%,62,79,50%,null,8,4.62,1.86,4.47,1.12,51%,60%,0.00,13:25,15,24%,38,61%,9,15%,40,40%,34,34%,26,26%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/julius-anglickas,Light Heavyweight
JULIUS WALKER,7-1-0,4,2,5,56%,130,233,37%,1,19,4.33,3.53,3.50,0.00,44%,100%,0.50,15:00,69,53%,39,30%,22,17%,63,48%,42,32%,67,19%,4,67%,0,0%,2,33%,https://www.ufc.com/athlete/julius-walker,Light Heavyweight
KEVIN CHRISTIAN,1-0-0,null,null,null,35%,7,20,null,null,null,0.75,1.83,0.00,3.23,55%,50%,0.00,09:17,6,86%,0,0%,1,14%,57,57%,29,14%,29,29%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/kevin-christian,Light Heavyweight
KHALIL ROUNTREE JR.,15-7-0,9,null,7,41%,680,1673,null,null,null,3.88,4.33,0.00,0.09,50%,59%,1.20,09:44,617,91%,36,5%,27,4%,375,55%,162,24%,143,21%,9,60%,6,40%,0,0%,https://www.ufc.com/athlete/khalil-rountree-jr,Light Heavyweight
LUKASZ SUDOLSKI,0-1-0,null,null,null,68%,21,31,null,null,null,5.70,4.89,0.00,0.00,28%,100%,0.00,03:41,9,43%,12,57%,0,0%,48,38%,48,48%,14,14%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/lukasz-sudolski,Light Heavyweight
MAGOMED ANKALAEV,21-2-1,11,null,6,53%,690,1308,22%,null,45,3.65,2.59,0.79,0.00,56%,88%,0.56,11:49,490,71%,73,11%,127,18%,383,56%,189,27%,118,17%,11,52%,10,48%,0,0%,https://www.ufc.com/athlete/magomed-ankalaev,Light Heavyweight
MARCIN PRACHNIO,17-9-0,11,null,11,55%,593,1087,20%,null,5,5.52,3.15,0.14,0.00,55%,53%,0.14,09:46,495,83%,95,16%,3,1%,201,30%,216,34%,216,36%,11,65%,5,29%,1,6%,https://www.ufc.com/athlete/marcin-prachnio,Light Heavyweight
MARCOS BRIGAGAO,0-0-0,null,null,null,43%,46,106,0%,null,1,3.07,3.27,0.00,0.00,26%,36%,0.00,15:00,36,78%,10,22%,0,0%,54,54%,35,35%,11,11%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/marcos-brigagao,Light Heavyweight
ANTON TURKALJ,8-4-0,5,2,5,43%,118,275,41%,null,39,2.45,3.42,4.98,0.00,54%,17%,0.00,09:38,94,80%,15,13%,9,8%,71,60%,25,19%,63,21%,5,63%,1,13%,2,25%,https://www.ufc.com/athlete/meyson-dzhons-2,Light Heavyweight
MODESTAS BUKAUSKAS,19-6-0,11,3,8,44%,335,767,67%,null,3,3.32,3.93,0.30,0.15,51%,80%,0.15,09:11,285,85%,31,9%,19,6%,241,72%,58,17%,58,11%,11,58%,5,26%,3,16%,https://www.ufc.com/athlete/modestas-bukauskas,Light Heavyweight
MURTAZA TALHA,0-2-0,null,null,null,58%,55,95,0%,null,10,4.29,7.09,0.00,0.00,32%,100%,0.00,06:25,30,55%,25,45%,0,0%,89,89%,11,11%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/murtaza-talha,Light Heavyweight
