fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
MAURICIO RUFFY,12-2-0,11,null,8,57%,171,299,0%,null,1,3.84,4.16,0.00,0.00,61%,84%,1.01,08:54,140,82%,4,2%,27,16%,129,75%,30,7%,92,18%,11,92%,1,8%,0,0%,https://www.ufc.com/athlete/mauricio-ruffy,Lightweight
MAX HOLLOWAY,27-8-0,12,2,null,48%,3655,7602,53%,4,15,7.20,4.74,0.24,0.30,59%,83%,0.35,16:23,3222,88%,245,7%,188,5%,2363,65%,893,24%,399,11%,12,44%,13,48%,2,7%,https://www.ufc.com/athlete/max-holloway,Lightweight
MAX MUSTAKI,6-3-0,null,null,null,50%,41,82,null,null,null,8.20,13.00,0.00,0.00,46%,null,0.00,05:00,38,93%,0,0%,3,7%,85,85%,10,10%,5,5%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/max-mustaki,Lightweight
MICHAEL CHANDLER,23-10-0,11,7,13,50%,434,871,41%,1,34,4.04,4.52,1.96,0.56,43%,62%,0.42,09:37,288,66%,21,5%,125,29%,305,70%,83,19%,48,11%,11,48%,5,22%,7,30%,https://www.ufc.com/athlete/michael-chandler,Lightweight
MICHAEL JOHNSON,25-19-0,10,2,8,40%,1541,3885,39%,8,36,4.28,3.79,0.58,0.04,59%,81%,0.54,11:37,1378,89%,101,7%,62,4%,811,53%,496,32%,234,15%,10,40%,13,52%,2,8%,https://www.ufc.com/athlete/michael-johnson,Lightweight
MITCH RAMIREZ,8-3-0,5,2,6,44%,90,203,33%,null,3,3.51,3.98,0.59,0.00,37%,25%,0.00,08:32,81,90%,9,10%,0,0%,44,44%,38,18%,63,38%,5,63%,1,13%,2,25%,https://www.ufc.com/athlete/mitch-ramirez,Lightweight
MYKTYBEK OROLBAI,14-2-1,6,2,7,50%,4,8,null,null,null,0.41,5.70,0.00,0.00,29%,null,0.00,04:50,3,75%,0,0%,1,25%,50,50%,25,25%,55,25%,6,55%,3,27%,2,18%,https://www.ufc.com/athlete/myktybek-orolbai,Lightweight
NAIR NELIKYAN,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/nair-nelikyan,Lightweight
NARIMAN ABBASSOV,0-1-0,null,null,null,20%,45,225,0%,null,2,3.00,5.67,0.00,0.00,46%,67%,0.00,15:00,45,100%,0,0%,0,0%,58,58%,24,18%,24,24%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/nariman-abbassov,Lightweight
NATAN LEVY,8-2-0,null,3,2,52%,232,442,58%,3,36,3.70,3.19,5.03,0.48,59%,41%,0.00,12:32,205,88%,10,4%,17,7%,127,55%,70,30%,35,15%,0,0%,5,63%,3,38%,https://www.ufc.com/athlete/natan-levy,Lightweight
