fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
CUB SWANSON,30-14-0,14,4,null,51%,1846,3603,50%,11,52,4.79,4.00,1.01,0.39,59%,64%,0.39,11:41,1488,81%,196,11%,162,9%,1128,61%,372,19%,372,20%,14,47%,12,40%,4,13%,https://www.ufc.com/athlete/cub-swanson,Featherweight
DAN IGE,19-10-0,7,5,7,45%,980,2172,26%,2,62,3.64,3.56,0.89,0.22,56%,57%,0.45,12:49,763,78%,75,8%,142,14%,650,66%,211,22%,119,12%,7,37%,7,37%,5,26%,https://www.ufc.com/athlete/dan-ige,Featherweight
DANIEL SANTOS,14-2-0,7,2,3,41%,285,700,40%,null,30,4.76,5.03,3.01,0.00,51%,73%,0.50,11:58,209,73%,24,8%,52,18%,184,65%,64,22%,50,13%,7,50%,5,36%,2,14%,https://www.ufc.com/athlete/daniel-santos,Featherweight
DANIEL SWAIN,20-10-1,null,null,null,44%,4,9,null,null,null,0.80,3.20,0.00,6.00,41%,null,0.00,05:00,3,75%,1,25%,0,0%,50,25%,50,50%,25,25%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/daniel-swain,Featherweight
DANNY HENRY,12-4-0,5,5,5,52%,105,202,33%,1,3,5.20,4.16,0.74,2.23,46%,50%,1.49,05:03,61,58%,6,6%,38,36%,74,70%,22,21%,42,9%,5,42%,2,17%,5,42%,https://www.ufc.com/athlete/danny-henry,Featherweight
DANNY SILVA,10-2-0,5,null,1,55%,400,725,33%,4,24,6.67,7.47,2.00,0.25,61%,82%,0.25,15:00,346,87%,49,12%,5,1%,272,68%,83,21%,50,11%,5,50%,5,50%,0,0%,https://www.ufc.com/athlete/danny-silva,Featherweight
DARREN ELKINS,29-12-0,9,5,null,38%,1190,3096,34%,39,197,3.40,3.34,2.87,1.07,51%,56%,0.09,11:41,685,58%,242,20%,263,22%,904,76%,235,20%,51,4%,9,31%,15,52%,5,17%,https://www.ufc.com/athlete/darren-elkins,Featherweight
DAVID ONAMA,14-2-0,7,4,6,51%,507,1001,30%,null,23,5.24,4.73,1.08,0.46,52%,53%,0.62,12:06,401,79%,38,7%,68,13%,405,80%,59,12%,50,8%,7,50%,3,21%,4,29%,https://www.ufc.com/athlete/david-onama,Featherweight
DENNIS BUZUKJA,12-5-0,5,1,4,43%,300,690,27%,null,11,4.21,4.82,0.63,0.21,49%,75%,0.42,11:52,249,83%,34,11%,17,6%,165,55%,78,26%,57,19%,5,42%,6,50%,1,8%,https://www.ufc.com/athlete/dennis-buzukja,Featherweight
DIEGO LOPES,27-7-0,11,12,15,49%,388,798,56%,null,9,4.10,4.72,0.79,1.74,47%,68%,0.79,10:31,254,65%,33,9%,101,26%,295,76%,51,11%,51,13%,11,41%,4,15%,12,44%,https://www.ufc.com/athlete/diego-lopes,Featherweight
DINIS PAIVA,13-8-0,null,null,null,41%,39,94,null,null,null,2.60,2.73,0.00,0.00,67%,82%,1.00,15:00,34,87%,1,3%,4,10%,54,54%,33,33%,13,13%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/dinis-paiva,Featherweight
DOOHO CHOI,16-4-1,13,1,8,56%,344,610,54%,1,13,4.67,4.02,1.43,0.61,56%,48%,0.81,08:11,257,75%,36,10%,51,15%,233,68%,64,19%,81,14%,13,81%,2,13%,1,6%,https://www.ufc.com/athlete/dooho-choi,Featherweight
STEVEN NGUYEN,10-2-0,5,3,5,42%,476,1130,100%,1,1,7.47,7.10,0.24,0.00,61%,88%,1.65,12:44,424,89%,10,2%,42,9%,394,83%,45,8%,50,9%,5,50%,2,20%,3,30%,https://www.ufc.com/athlete/dzhelin-tyorner-0,Featherweight
