S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Total persons,Child_count ,child_density_per_100
Victoria,209,Melbourne - North East,20901,Banyule,209011199,Heidelberg West,1112,884,777,16703,2773,16.6018
Victoria,209,Melbourne - North East,20901,Banyule,209011200,Ivanhoe,549,632,697,13151,1878,14.2803
Victoria,209,Melbourne - North East,20901,Banyule,209011201,Ivanhoe East - Eaglemont,286,408,532,8100,1226,15.1358
Victoria,209,Melbourne - North East,20901,Banyule,209011202,Montmorency - Briar Hill,903,1143,1179,16957,3225,19.0187
Victoria,209,Melbourne - North East,20901,Banyule,209011203,Viewbank - Yallambie,1025,1253,1324,19009,3602,18.9489
Victoria,209,Melbourne - North East,20901,Banyule,209011204,Watsonia,663,556,573,9518,1792,18.8275
Victoria,209,Melbourne - North East,20902,Darebin - North,209021205,Kingsbury,446,465,446,12508,1357,10.8491
Victoria,209,Melbourne - North East,20902,Darebin - North,209021428,Preston - East,1093,917,905,22596,2915,12.9005
Victoria,209,Melbourne - North East,20902,Darebin - North,209021429,Preston - West,664,734,718,13470,2116,15.7090
Victoria,209,Melbourne - North East,20902,Darebin - North,209021523,Reservoir - North East,936,775,564,15976,2275,14.2401
Victoria,209,Melbourne - North East,20902,Darebin - North,209021524,Reservoir - North West,559,496,445,9834,1500,15.2532
Victoria,209,Melbourne - North East,20902,Darebin - North,209021525,Reservoir - South East,793,630,596,13875,2019,14.5514
Victoria,209,Melbourne - North East,20902,Darebin - North,209021526,Reservoir - South West,944,811,749,15161,2504,16.5161
Victoria,209,Melbourne - North East,20903,Nillumbik - Kinglake,209031209,Eltham,1138,1451,1613,23554,4202,17.8399
Victoria,209,Melbourne - North East,20903,Nillumbik - Kinglake,209031210,Hurstbridge,191,225,230,3540,646,18.2486
Victoria,209,Melbourne - North East,20903,Nillumbik - Kinglake,209031211,Kinglake,255,263,287,4399,805,18.2996
Victoria,209,Melbourne - North East,20903,Nillumbik - Kinglake,209031212,Panton Hill - St Andrews,211,218,317,5153,746,14.4770
Victoria,209,Melbourne - North East,20903,Nillumbik - Kinglake,209031213,Plenty - Yarrambat,393,576,664,9609,1633,16.9945
Victoria,209,Melbourne - North East,20903,Nillumbik - Kinglake,209031214,Research - North Warrandyte,333,417,564,7034,1314,18.6807
Victoria,209,Melbourne - North East,20903,Nillumbik - Kinglake,209031215,Wattle Glen - Diamond Creek,909,960,983,14803,2852,19.2664
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041216,Bundoora - North,273,314,355,8005,942,11.7676
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041217,Bundoora - West,316,326,232,6742,874,12.9635
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041220,Mill Park - North,854,912,905,17706,2671,15.0853
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041221,Mill Park - South,602,551,605,11322,1758,15.5273
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041223,Thomastown,1150,1024,902,20538,3076,14.9771
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041224,Wallan,2545,2457,2061,28415,7063,24.8566
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041225,Whittlesea,1394,1228,1071,15811,3693,23.3572
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041431,Epping - East,752,815,889,13492,2456,18.2034
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041432,Epping - South,479,458,398,8413,1335,15.8683
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041433,Epping (Vic.) - West,944,1049,1088,12905,3081,23.8745
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041435,South Morang - North,768,910,1060,13070,2738,20.9487
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041436,South Morang - South,701,765,792,12889,2258,17.5188
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041437,Wollert,3221,3402,2714,33578,9337,27.8069
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041527,Doreen - North,1073,1476,1586,17231,4135,23.9974
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041528,Doreen - South,1078,1152,972,11810,3202,27.1126
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041529,Lalor - East,584,528,477,10195,1589,15.5861
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041530,Lalor - West,844,983,857,13933,2684,19.2636
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041531,Mernda - North,869,1025,961,12038,2855,23.7166
Victoria,209,Melbourne - North East,20904,Whittlesea - Wallan,209041532,Mernda - South,1084,1234,1171,13526,3489,25.7948
Victoria,210,Melbourne - North West,21001,Keilor,210011226,Airport West,534,513,401,8647,1448,16.7457
Victoria,210,Melbourne - North West,21001,Keilor,210011227,Essendon Airport,0,0,0,14,0,0.0000
Victoria,210,Melbourne - North West,21001,Keilor,210011228,Keilor,447,464,498,8701,1409,16.1935
Victoria,210,Melbourne - North West,21001,Keilor,210011230,Niddrie - Essendon West,430,446,467,7925,1343,16.9464
Victoria,210,Melbourne - North West,21001,Keilor,210011231,Strathmore,386,630,848,10457,1864,17.8254
Victoria,210,Melbourne - North West,21001,Keilor,210011533,Avondale Heights,668,748,687,12822,2103,16.4015
Victoria,210,Melbourne - North West,21001,Keilor,210011534,Keilor East,783,863,960,15497,2606,16.8162
Victoria,210,Melbourne - North West,21002,Macedon Ranges,210021232,Gisborne,921,1225,1202,15434,3348,21.6924
Victoria,210,Melbourne - North West,21002,Macedon Ranges,210021233,Macedon,173,265,295,3645,733,20.1097
Victoria,210,Melbourne - North West,21002,Macedon Ranges,210021234,Riddells Creek,226,271,317,4547,814,17.9019
Victoria,210,Melbourne - North West,21002,Macedon Ranges,210021235,Romsey,741,755,765,11489,2261,19.6797
Victoria,210,Melbourne - North West,21003,Moreland - North,210031236,Coburg North,500,553,491,8935,1544,17.2804
Victoria,210,Melbourne - North West,21003,Moreland - North,210031237,Fawkner,1051,1100,1000,14960,3151,21.0628
Victoria,210,Melbourne - North West,21003,Moreland - North,210031439,Gowanbrae,165,174,175,3189,514,16.1179
Victoria,210,Melbourne - North West,21003,Moreland - North,210031440,Hadfield,515,414,339,6654,1268,19.0562
Victoria,210,Melbourne - North West,21003,Moreland - North,210031535,Glenroy - East,1175,866,714,15735,2755,17.5087
Victoria,210,Melbourne - North West,21003,Moreland - North,210031536,Glenroy - West,636,484,386,9575,1506,15.7285
Victoria,210,Melbourne - North West,21003,Moreland - North,210031537,Oak Park,534,477,389,8488,1400,16.4939
Victoria,210,Melbourne - North West,21003,Moreland - North,210031538,Pascoe Vale,1196,1002,966,18434,3164,17.1639
Victoria,210,Melbourne - North West,21004,Sunbury,210041240,Sunbury,931,909,978,14810,2818,19.0277
Victoria,210,Melbourne - North West,21004,Sunbury,210041539,Diggers Rest,699,500,368,6967,1567,22.4917
Victoria,210,Melbourne - North West,21004,Sunbury,210041540,Sunbury - South,1011,1025,1063,16819,3099,18.4256
Victoria,210,Melbourne - North West,21004,Sunbury,210041541,Sunbury - West,836,745,710,11404,2291,20.0894
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051242,Broadmeadows,1043,986,899,14786,2928,19.8025
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051243,Campbellfield - Coolaroo,1102,1233,1198,16438,3533,21.4929
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051245,Gladstone Park - Westmeadows,1051,1066,1004,18264,3121,17.0883
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051246,Greenvale - Bulla,1826,1842,1819,25723,5487,21.3311
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051247,Meadow Heights,1017,1040,1102,14960,3159,21.1163
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051248,Melbourne Airport,0,10,0,130,10,7.6923
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051250,Tullamarine,387,298,302,6710,987,14.7094
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051441,Craigieburn - Central,579,546,579,8207,1704,20.7628
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051442,Craigieburn - North,906,985,1131,12882,3022,23.4591
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051443,Craigieburn - South,1821,2005,1941,24086,5767,23.9434
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051445,Mickleham - Yuroke,4214,3781,2563,35371,10558,29.8493
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051542,Craigieburn - North West,1192,1132,903,11198,3227,28.8176
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051543,Craigieburn - West,1209,1305,1251,14760,3765,25.5081
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051544,Roxburgh Park (South) - Somerton,516,558,649,9731,1723,17.7063
Victoria,210,Melbourne - North West,21005,Tullamarine - Broadmeadows,210051545,Roxburgh Park - North,922,1191,1329,15427,3442,22.3115
Victoria,211,Melbourne - Outer East,21101,Knox,211011251,Bayswater,733,691,710,13305,2134,16.0391
Victoria,211,Melbourne - Outer East,21101,Knox,211011254,Knoxfield - Scoresby,862,989,1119,17142,2970,17.3259
Victoria,211,Melbourne - Outer East,21101,Knox,211011255,Lysterfield,260,358,469,6614,1087,16.4348
Victoria,211,Melbourne - Outer East,21101,Knox,211011256,Rowville - Central,744,841,889,15731,2474,15.7269
Victoria,211,Melbourne - Outer East,21101,Knox,211011257,Rowville - North,338,458,539,7894,1335,16.9116
Victoria,211,Melbourne - Outer East,21101,Knox,211011258,Rowville - South,488,586,598,10594,1672,15.7825
Victoria,211,Melbourne - Outer East,21101,Knox,211011259,Wantirna,685,964,966,14631,2615,17.8730
Victoria,211,Melbourne - Outer East,21101,Knox,211011260,Wantirna South,697,929,992,18388,2618,14.2375
Victoria,211,Melbourne - Outer East,21101,Knox,211011446,Boronia,1409,1370,1284,24565,4063,16.5398
Victoria,211,Melbourne - Outer East,21101,Knox,211011447,Ferntree Gully - North,800,769,836,14530,2405,16.5520
Victoria,211,Melbourne - Outer East,21101,Knox,211011448,Ferntree Gully (South) - Upper Ferntree Gully,885,944,886,15600,2715,17.4038
Victoria,211,Melbourne - Outer East,21101,Knox,211011449,The Basin,244,264,298,4345,806,18.5501
Victoria,211,Melbourne - Outer East,21102,Manningham - East,211021261,Donvale - Park Orchards,645,957,1216,16778,2818,16.7958
Victoria,211,Melbourne - Outer East,21102,Manningham - East,211021262,Warrandyte - Wonga Park,366,506,708,10238,1580,15.4327
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031263,Bayswater North,687,730,683,12043,2100,17.4375
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031265,Croydon Hills - Warranwood,959,1140,1264,18391,3363,18.2861
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031266,Ringwood,1085,1119,1064,19633,3268,16.6454
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031267,Ringwood East,1220,1389,1436,21866,4045,18.4990
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031268,Ringwood North,497,600,680,9803,1777,18.1271
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031450,Croydon - East,1127,1019,866,17181,3012,17.5310
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031451,Croydon - West,830,890,867,14828,2587,17.4467
Victoria,211,Melbourne - Outer East,21103,Maroondah,211031452,Croydon South,327,351,324,5140,1002,19.4942
Victoria,211,Melbourne - Outer East,21104,Whitehorse - East,211041269,Forest Hill,484,650,618,11213,1752,15.6247
Victoria,211,Melbourne - Outer East,21104,Whitehorse - East,211041270,Mitcham (Vic.),960,1036,982,17472,2978,17.0444
Victoria,211,Melbourne - Outer East,21104,Whitehorse - East,211041271,Nunawading,685,747,756,13230,2188,16.5382
Victoria,211,Melbourne - Outer East,21104,Whitehorse - East,211041272,Vermont,468,857,988,11353,2313,20.3735
Victoria,211,Melbourne - Outer East,21104,Whitehorse - East,211041273,Vermont South,380,594,674,12275,1648,13.4257
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051274,Belgrave - Selby,562,609,695,9991,1866,18.6768
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051275,Chirnside Park,800,850,766,12506,2416,19.3187
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051276,Healesville - Yarra Glen,749,814,833,14040,2396,17.0655
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051277,Kilsyth,776,699,611,10676,2086,19.5392
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051278,Lilydale - Coldstream,1207,1166,1178,20533,3551,17.2941
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051279,Monbulk - Silvan,296,385,409,5834,1090,18.6836
